! (The Song Formerly Known As)	Regurgitator
(Another Song) All Over Again	Justin Timberlake
(Let's Go) All The Way	The Whispers
(You Can't Blame It On) Anybody	Phoenix
1517	The Whitest Boy Alive
1901 (sayCet Remix)	Phoenix
1901 (What Kind Of Breeze Do You Blow? A-Mix)	Phoenix
1901 (What Kind Of Breeze Do You Blow? E-Mix)	Phoenix
1901	Phoenix
1999	Prince
24-25	Kings Of Convenience
24	Jem
3 Days Ago	Mario Winans
30 Minute Boyfriend	Julian Casablancas
5 Years from Now	Lil' Bran/Mike Jones
[Untitled Hidden Track]	Jamiroquai
A 1000 miles	Michelle Branch
A Beautiful Mess	Jason Mraz
A Cause Des Garcons	Yelle
A Change Is Gonna Come	Seal
A Day in the Life	The Beatles
A Game	Talib Kweli
A Hard Day's Night	The Beatles
A New Sky	The Presets	aah-01
Able Mable	Molly Wagger
Above You	The Whitest Boy Alive
Across the Universe	The Beatles
Addiction	Kanye West
Adios amor	Sabroso
Adrift	Jack Johnson
Aeons	The Presets
Affirmation	José Feliciano
Africa	Toto
After The Moment	Craft Spells
Afterglow	INXS
Again	Lenny Kravitz
Ahi controlo yo	La Konga
Ahora (f. Angel Doze)	Zion y Lennox
Ain't No Sunshine When She's Gone 	Tom Jones
Alive	Armand Margjeka
All at Once	Jack Johnson
All Ears	The Whitest Boy Alive
All Falls Down (feat. Syleena	Kanye West
All Mine	Little Red
All my friends are getting married	Skyhooks
All My Loving	The Beatles
All Night Long	Lionel Richie
All Nightmare Long	Metallica
All Of My Life	Phil Collins
All of Us (Beat Connection Remix)	Painted Palms
All Over Again	Ronan Keating
All the Right Friends	R.E.M.
All the Way to Reno	R.E.M.
All These Things That I've Done	The Killers
All You Need Is Love	The Beatles
Alley Cats	Hot Chip
Alone, Together	The Strokes
Alphabetical	Phoenix
Already Know (Interlude)	Mario Winans
Alright	Jamiroquai
Alter Ego	Tame Impala
Always By Your Side (Nicolas Jaar "Big" Version)	Sneaky Sound System
Always On Time 	Ja Rule
Always Where I Need To Be	The Kooks
Amazed	LoneStar
Ambitionz Az a Ridah	Tupac
America The Beautiful	Ray Charles
American Boy (Estelle cover)	Sam Sparro
American Mourning	Bikini
American Women	Lenny Kravitz
Aminals	Baths
Amor clasificado	Rodrigo
Amor mio	Sabroso
Amsterdam	Peter Bjorn & John
Amsterdam	Peter, Bjorn & John
And I Love Her	The Beatles
And The Beat Goes On	The Whispers
Andy, You're a Star	The Killers
Angel	Jack Johnson
Angelicus  (Morgan Page Remix)	Delerium
Angry Young Man	Get Well Soon
Animal	R.E.M.
Another Day In Paradise	Phil Collins
Anti-D	The Wombats
Any Colour You Like	Pink Floyd
Anyway You Choose To Give It	The Black Ghosts
Anywhere	The Presets
Aparesiste Tu	Los Reyes de Cuarteto
Apart Of You	Kids of 88
Apologize	Kanye West
Apple Tree	Wolfmother
Apúrate José	Teresa Parodi
Aqua Marine	Santana
Araby 	Minks
Are You Devo (The Spirituals Remix)	Shelby Sifers
Armistice	Phoenix
Around My Way	John Legend
ASAP	T.I.
Asi se baila el tango 	Take The Lead
Aspirations	Santana
At My Most Beautiful	R.E.M.
B.O.B.	Outkast
Baby Come Back	Player
Baby Its You (Remix) ft bow wow	Jojo
Baby Mama Love (Album Version)	N2U Feat. Jermaine Dupri
Baby Tell Me I'm the Only One	Thirsty Merc
Back in the U.S.S.R.	The Beatles
Back Then	Mike Jones
Back to Basics	Kanye West
Back Up Offa Me	Talib Kweli
Bad Day	R.E.M.
Bad	Michael Jackson
Bail Me Out	Pete Murray
Baldessari	Fair Ohs
Banana Pancakes	Jack Johnson
Barely Legal	The Strokes
Barrier Break	Diesel Boy + Kaos
Bartender (Feat. Akon)	T-Pain
Basic Expressions	SMH
Bata Bata	Reggeton
Battery	Metallica/San Francisco Symphony Orchestra
Beat It	Michael Jackson
Beautiful Girl	INXS
Beautiful Struggle	Talib Kweli
Been A Long Time (Instrumental)	Capone
Been A Long Time	Capone
Before Destruction	Spoon
Behind the Lines	Phil Collins
Being for the Benefit of Mr. Kite!	The Beatles
Believe Me Natalie	The Killers
Believe	Lenny Kravitz
Berlin	Is Tropical
Bermuda	Kisses
Besos Mojados (La Revolucion)	Wisin & Yandel
Best Friend	50 Cent
Best Of My Love	The Eagles
Better Together	Jack Johnson
Bicycle	Memory Tapes
Billie jean	Michael Jackson
Birth of the Blues	Tommy Emmanuel
Bitter Tears	INXS
Black And Yellow	Wiz Khalifa
Black Dog	Led Zeppelin
Black Girl Pain	Talib Kweli
Black Magic Woman	Santana
Black Or White	Michael Jackson
Black Plant	The Last Shadow Puppets
Black Sweat	Prince
Blame It (Feat T-Pain)	Jamie Foxx
Bleed It Out	Linkin Park
Bleeding Me	Metallica
Blinded By The Light (Album Version)	Manfred Mann's Earth Band
Bling (Confession of a King)	The Killers
Blood Sugar Sex Magic	Red Hot Chilli Peppers
Blood	The Middle East
Blue Moon	Tommy Emmanuel
Boat Behind	Kings Of Convenience
Bonfire	Southern Shores
Bonus Track	The Kooks
Booking Accommodation	SMH
Boombox (ft. Julian Casablancas)	Lonely Island
Borders	The Whitest Boy Alive
Born Fe Rebel	Steel Pulse
Brain Damage	Pink Floyd
Break My Stride	Matthew Wilder
Breaking The Habit	Linkin Park
Breathe	Pink Floyd
Brick House	Kool and the Gang
Brightest Star	Santana
Bring Em Out	T.I.
Bring Me Down	Brandy/Kanye West
Broken Glass	Talib Kweli
Broken Wings	Mr. Mister/Mr. Mister
Broken, Beat And Scarred	Metallica
Brooklyn (Home Demo)	The Kooks
Brother Louie	Talking Modern Lyrics
Brothers	Hot Chip
Bulletproof	The Boat People
Bulls on Parade	Rage Against the Machine
Burn	Usher
Burning	The Whitest Boy Alive
Butterfly	Jason Mraz
Buy You A Drink	T Pain Feat. Yung Joc
By My Side	The Kooks
By The Way	Red Hot Chilli Peppers
Ca Plane Pour Moi	Plastic Bertrand
California Dreamin'	José Feliciano
California Dreaming	Mammas And Pappas
California English	Vampire Weekend
California love	Tupac
Californiacation	Red Hot Chilli Peppers
Call Me Back	The Strokes
Call Me	Kimbra
Call My Name	Morgan Page & Tyler James
Calm Like You	The Last Shadow Puppets
Cameo Lover	Kimbra
Can I Have It Like That ft. Gwen Stefani	Pharrell
Can't Believe It f. Justin Timberlake (Remix)	T-Pain 
Can't Buy Me Love	The Beatles
Can't Judge Me	Mario Winans
Can't You Wait	Geographer
Can`t Stop	Red Hot Chilli Peppers
Canadian Sunset	Tommy Emmanuel
Canción con todos	Cesar Isella
Canned Heat	Jamiroquai
Cap	The Kooks
Cara a Cara	Varios Artists
Carpa salteña	Los cantores del alba
Carry Out	Timbaland Ft Justin Timberlake
Caught Up	Usher
Cayman Islands	Kings Of Convenience
Celebration Day	Led Zeppelin
Celebration	Kool and the Gang
Chains	Kenna
Chamber	The Last Shadow Puppets
Changes	Van She
Changes	Tupac
Chelsworth	Little Red
Chillin With My Bitch Ft Jazze	T.I.
Chinese Freestyle Rap	Tai Mai Shu
Chocolate Raspberry Lemon And Lime	Muscles
Chop Me Up	Justin Timberlake
Church [Clean Version]	T-Pain
Cigarettes in the Theatre	Two Door Cinema Club
Classical Gas (Acoustic)	Tommy Emmanuel
Claude Monet	Thirsty Merc
Coco Jambo [Christmas Version]	Mr. President
Cold War	Vivian Darkbloom
Colossal	Wolfmother
Colours	Phil Collins
Come Back Home	Two Door Cinema Club
Come Fly With Me	Foxy Brown Feat. Sizzla
Come Together	The Beatles
Communication Breakdown	Led Zeppelin
Como Olvidarla	Rodrigo
Compared to What	John Legend;The Roots
Congratulations	Phoenix
Consolation Prizes	Phoenix
Corazon Espinado (Featuring Mana)	Santana/Maná
Corner Of The Earth	Jamiroquai
Cosmic Girl	Jamiroquai
Cotton Mouth	Kids of 88
Count Down	T.I.
Countdown	Phoenix
Courage	The Whitest Boy Alive
Courtesy Laughs	Phoenix
Cousins	Vampire Weekend
Coyotes	Jason Mraz
Crack Music	Game/Kanye West
Crawling [Live]	Linkin Park
Crazy Little Thing Called Love	Michael Bublé
Cross My Heart & Hope To Fly	The Courteeners
Crush	Jennifer Paige
Cry Me A River	Justin Timberlake
Crying Shame	Jack Johnson
Crystalised	The XX
Cuando baje la marea	La Konga
Culpable o no	Sabroso
Cuttin' [Remix]	Mike Jones
Cyanide	Metallica
Damn Girl	Justin Timberlake
Dancing in the Dark	The Temper Trap
Dancing Queen (Queen cover)	Whitley
Dani California	Red Hot Chilli Peppers
Daniel	José Feliciano
Day 'N' Night (Crooker's Remix)	Kid Cudi
Day 'N' Nite	Kid Cudi
Day Tripper	The Beatles
Days of the week	SMH
Daysleeper	R.E.M.
Dazed And Confused	Led Zeppelin
De que te vale	Sabroso
Dead And Gone(ft Justin Timberlake)	T.I.
Dead End	The Whitest Boy Alive
Dead Ending	The Hundred In The Hands
Decadence	Disturbed
Deep In The Forest	Keenhouse
Definitive Breaks	Phoenix
deja de llorar(2)	La champions liga
Descara II (New Version)	Wisin & Yandel feat Yomo
Desde el alma	Ariel Ramirez
Desire Be Desire Go	Tame Impala
Desperado	The Eagles
Details in the Fabric	James Morrison/Jason Mraz
Detects On My Affection	Peter Bjorn And John
Devil's Dance	Metallica
Diamonds And Pearls	Prince
Diamonds from Sierra Leone	Kanye West
Diamonds	Kayne West
Didjerama	Jamiroquai
Didjital Vibrations	Jamiroquai
Dig In	Lenny Kravitz
Digital Girl (Feat The Dream)	Jamie Foxx
Dilemma ft. Kelly Rowland	Nelly
Dime quien	Sabroso
Dime Si Eres Feliz	La Champion Liga
Dime si te vas con el	Nigga
Dimension	Wolfmother
Diplomat's Son	Vampire Weekend
Dirty Laundry  (Morgan Page Remix)	Bitter:Sweet
Disbelief	Mario Winans
Do You Know Where You're Coming From [*]	Jamiroquai
Do You Remember	Jack Johnson
Do You Remember?	Phil Collins
Do You Wanna	The Kooks
Do You Want It All	Two Door Cinema Club
Doesn't Anybody Stay Together Anymore	Phil Collins
Don't Be On With Her	Miami Horror 
Don't Change	INXS
Don't Give Up	The Whitest Boy Alive
Don't Let Me Down	The Beatles
Don't Lose My Number	Phil Collins
Don't stop till you get enough	Michael Jackson
Don't Stop	Tim & Jean
Done With You	The Whitest Boy Alive
Doolin Dalton	The Eagles
Down To The Market	The Kooks
Downtown	Kids of 88
Drifting Along	Jamiroquai
Drive My Car	The Beatles
Drive Slow	GLC/Kanye West/Paul Wall
Droned	Phil Collins
Drop Da Bomb (Yvan Eht Nioj) Megamix	The Simpsons
Drop It Like Its Hot	Snoop Dog
Duke of Earl	The Four Tops
Dvno	Justice
Dy-Na-Mi-Tee	Ms. Dynamite
E-Bow the Letter	R.E.M.
Eat That up, It's Good for You	Two Door Cinema Club
Eaten By Your Love	The Kooks
Eating Out	SMH
Echoplex	Miami Horror
Eclipse Total Del Amor	Varios Artists
Eclipse	Pink Floyd
Eddie's Gun	The Kooks
Eight Days a Week	The Beatles
El federal	La Mona Jimenez
El Señor De La Noche (Original Mix)	Juan Magan & Marcos Rodriguez feat. Manu Gz
El Telefono	Wisin & Yandel
Eleanor Rigby	The Beatles
Electric Feel	Jen Cloher;Jordie Lane
Electricityscape	The Strokes
Electrolite	R.E.M.
Ella Me Llama Tarde	Wisin & Yandel
Emancipate Myself	Thirsty Merc
Embuscade	Phoenix
En Septiembre	Varios Artists
Enamorado de Ella	Varios Artists
Enemy	Jack Johnson
Engañera	Los Tucu Tucu
Enough (Interlude)	Mario Winans
Enter Sandman	Metallica/San Francisco Symphony Orchestra
Enterlude	The Killers
Estoy con ella y pienso en ti	Sabroso
Eucalyptus	The Presets
Europa (Earth's Cry Heaven's Smile)	Santana
Evacuate	The Boxer Rebellion
Evening Glow	Brothertiger
Everybody Hurts	R.E.M.
Everybody Knows	Kids of 88
Everyday I Love You Less And Less	Kaiser Chiefs
Everyday	Jamiroquai
Everything But You	Thirsty Merc
Everything Is Everything	Phoenix
Everything Will Be Alright	The Killers
Evil Ways	Santana
Basic Ex	SMH
Booking	SMH
Eating Out	SMH
Intro	SMH
S & S	SMH
Sightseeing	SMH
T & T	SMH
Exitlude	The Killers
Expectation	Tame Impala
Eyes as Candles	Passion Pit
Fa Fa Fa (Radio Edit)	Datarock
Fa La La	The Kooks
Face	The Black Ghosts
Fade Away	Morgan Page & Matt Wasley
Faint [Live]	Linkin Park
Fall Your Way	Pete Murray
Falling For You	Jem
Fancy Parts	Mr Miyagi
Father To Son	Phil Collins
Feed The Birds	Kids of 88
Feeler	Pete Murray
Fences	Phoenix
Fever	Michael Bublé
Figurate Tu	Rodrigo & Alejandra Romero
Figures	The Whitest Boy Alive
Find A Way To My Heart	Phil Collins
Fired Up.	MC Hush
Fireworks II	The Whitest Boy Alive
Fireworks	The Whitest Boy Alive
Fixing a Hole	The Beatles
Flathead	The Fratellis
Flor d'Luna (Moonflower)	Santana
Flor d'Luna [Moonflower]	Santana
Flossin'	Big Moe/Mike Jones
Fly Away	Lenny Kravitz
Flying High	Jem
Folds in Your Hands	Passion Pit
Follow You There	Little Red
For Everyone	The Ashton Shuffle
For Once In My Life	Michael Bublé
For Reasons Unknown	The Killers
For Whom the Bell Tolls	Metallica/San Francisco Symphony Orchestra
Forever Young	Youth Group
Forget About Your Man	Little Red
Forget My Name (Feat. Hot Chip)	Jesse Rose
Freak Though Ft Pharrell	T.I.
Freak'in Me (Feat Marsha Ambrosius)	Jamie Foxx
Free	Seal
Freedom And Its Owner	Kings Of Convenience
Freedom	Pete Murray
Friday Let Me Down	Hall & Oates
From Me to You	The Beatles
From Paris To Berlin (Pumping For Love)	Infernal
From The Inside [Live]	Linkin Park
Fuck Was I  (Morgan Page Remix)	Jenny Owen Youngs
Fuel	Metallica
Full Moon	Santana
Funky Squaredance	Phoenix
Games	The Strokes
Get A Life	Little Red
Get Back	The Beatles
Get Busy (Remix Cumbia)	Sean Paul
Get Down On It	Kool and the Gang
Get Loose Ft Nelly	T.I.
Get Yo Shit Together Ft L' Kim	T.I.
Getting Better	The Beatles
Ghetto Gospel Feat. Elton John	Tupac
Ghetto Gospel	Tupac
Ghetto Show	Anthony Hamilton/Common/Talib Kweli
Girl	The Beatles
Girlfriend	Phoenix
Girls in Hats (Kissy Sell Out Remix)	The Loose Cannons
Girls Like You	The Naked And Famous
Give It Away	Red Hot Chilli Peppers
Given Up	Linkin Park
Giving Up The Gun	Vampire Weekend
Glamorous Indie Rock & Roll	The Killers
Gloomy Monday Morning	The Black Hollies
Go Bang	SBTRKT
Go On	Jack Johnson
Going Hard	Talib Kweli
Going Wrong	Little Red
Gold Digger featuring Jamie Foxx	Kanye West
Gold Digger	Jamie Foxx/Kanye West
Gold Watch	Lupe Fiasco
Golden Cage	The Whitest Boy Alive
Gone	Cam'ron/Consequence/Kanye West
Good Intent	Kimbra
Good Morning Good Morning	The Beatles
Good people	Jack Johnson
Good Times Bad Times	Led Zeppelin
Goodnight Laura	Spoon
Got It Sewed Up [Remix]	Mike Jones
Got No Love	The Kooks
Got Nuffin	Spoon
Gotta Get Into You	New Young Pony Club
Grand Illusion	Miami Horror
Grandma	Mike Jones
Gratisfaction	The Strokes
